Epoch,Iteration,Loss,Accuracy,Learning Rate
1,0,2.1188,0.0625,1e-06
1,1,2.0743,0.125,1.2e-05
1,2,1.8652,0.2396,2.4e-05
1,3,1.7728,0.2812,3.5e-05
1,4,1.7416,0.3063,4.6e-05
1,5,1.7601,0.3281,5.8e-05
1,6,1.7542,0.3527,6.9e-05
1,7,1.7235,0.3633,8e-05
1,8,1.7361,0.3646,9.2e-05
1,9,1.7546,0.3719,0.000103
1,10,1.7566,0.3693,0.000115
1,0,2.0266,0.1875,1e-06
1,1,1.9936,0.2031,1.2e-05
1,2,1.8146,0.2917,2.4e-05
1,3,1.766,0.3203,3.5e-05
1,4,1.7291,0.3312,4.6e-05
1,5,1.7545,0.3646,5.8e-05
1,6,1.7526,0.3839,6.9e-05
1,7,1.742,0.3906,8e-05
1,8,1.773,0.3819,9.2e-05
1,9,1.7922,0.3937,0.000103
1,10,1.8083,0.3864,0.000115
1,11,1.7697,0.4036,0.000126
1,12,1.7652,0.4087,0.000137
1,13,1.7469,0.4152,0.000149
1,14,1.7309,0.4188,0.00016
1,15,1.6865,0.4277,0.000171
1,16,1.6749,0.4265,0.000183
1,17,1.6479,0.4288,0.000194
1,18,1.6448,0.4227,0.000205
1,19,1.6166,0.4281,0.000217
1,20,1.5898,0.433,0.000228
1,21,1.566,0.4361,0.000239
1,22,1.5741,0.4307,0.000251
1,23,1.5607,0.4349,0.000262
1,24,1.5436,0.4387,0.000273
1,25,1.536,0.4399,0.000285
1,26,1.512,0.4491,0.000296
1,27,1.524,0.4442,0.000308
1,28,1.5203,0.4418,0.000319
1,29,1.5054,0.4448,0.00033
1,30,1.5038,0.4435,0.000342
1,31,1.4947,0.4414,0.000353
1,32,1.4929,0.4413,0.000364
1,33,1.4818,0.4467,0.000376
1,34,1.4711,0.4464,0.000387
1,35,1.4649,0.4453,0.000398
1,36,1.46,0.4451,0.00041
1,37,1.4485,0.4449,0.000421
1,38,1.4348,0.4487,0.000432
1,39,1.4227,0.4508,0.000444
1,40,1.4213,0.4505,0.000455
1,41,1.4159,0.4516,0.000466
1,42,1.4099,0.452,0.000478
1,43,1.3989,0.456,0.000489
1,44,1.3942,0.4569,0.0005
1,45,1.3837,0.4599,0.000512
1,46,1.3791,0.4581,0.000523
1,47,1.3791,0.4603,0.000535
1,48,1.3767,0.4605,0.000546
1,49,1.3827,0.4581,0.000557
1,50,1.3882,0.4547,0.000569
1,51,1.3838,0.4543,0.00058
1,52,1.3806,0.4552,0.000591
1,53,1.375,0.4578,0.000603
1,54,1.3761,0.4557,0.000614
1,55,1.3658,0.4587,0.000625
1,56,1.3705,0.4567,0.000637
1,57,1.3619,0.4623,0.000648
1,58,1.359,0.4645,0.000659
1,59,1.3634,0.4615,0.000671
1,60,1.3611,0.4616,0.000682
1,61,1.3576,0.4617,0.000693
1,62,1.3514,0.4643,0.000705
1,63,1.3456,0.4644,0.000716
1,64,1.3429,0.4635,0.000728
1,65,1.3372,0.4635,0.000739
1,66,1.3371,0.465,0.00075
1,67,1.3374,0.4628,0.000762
1,68,1.3324,0.4638,0.000773
1,69,1.3358,0.4629,0.000784
1,70,1.3293,0.4652,0.000796
1,71,1.3288,0.4657,0.000807
