Epoch,Iteration,Loss,Accuracy,Learning Rate
1,0,2.5366,0.125,0.001
1,1,3.0113,0.0625,0.001
1,2,3.0071,0.0729,0.001
1,3,2.8431,0.1328,0.001
1,4,2.6181,0.2062,0.001
1,5,2.5627,0.2604,0.001
1,6,2.4861,0.2991,0.001
1,7,2.4215,0.3281,0.001
1,8,2.3204,0.3646,0.001
1,9,2.3026,0.3719,0.001
1,10,2.2641,0.3892,0.001
1,11,2.3863,0.3802,0.001
1,12,2.435,0.3702,0.001
1,13,2.3971,0.3795,0.001
1,14,2.3709,0.3917,0.001
1,15,2.3323,0.4121,0.001
1,16,2.2876,0.4301,0.001
1,17,2.2812,0.4427,0.001
1,18,2.2322,0.4589,0.001
1,19,2.1842,0.4703,0.001
1,20,2.1532,0.4777,0.001
1,21,2.1355,0.4716,0.001
1,22,2.1586,0.4511,0.001
1,23,2.1736,0.4323,0.001
1,24,2.1838,0.415,0.001
1,25,2.206,0.4087,0.001
1,26,2.2242,0.4016,0.001
1,27,2.2254,0.3873,0.001
1,28,2.2222,0.375,0.001
1,29,2.2215,0.3677,0.001
1,30,2.2186,0.3609,0.001
1,31,2.2179,0.3506,0.001
1,32,2.2126,0.3428,0.001
1,33,2.2521,0.3327,0.001
1,34,2.2612,0.3232,0.001
1,35,2.2698,0.3229,0.001
1,36,2.2934,0.3235,0.001
1,37,2.3204,0.3199,0.000999
1,38,2.3383,0.3133,0.000999
1,39,2.3213,0.3148,0.000999
1,40,2.2931,0.3262,0.000999
1,41,2.2608,0.3385,0.000999
1,42,2.243,0.3496,0.000999
1,43,2.2748,0.3438,0.000999
1,44,2.3065,0.3361,0.000999
1,45,2.3852,0.3288,0.000999
1,46,2.4043,0.3218,0.000999
1,47,2.4081,0.3184,0.000999
1,48,2.4058,0.3195,0.000999
1,49,2.4006,0.3225,0.000999
1,50,2.392,0.3248,0.000999
1,51,2.3833,0.3263,0.000999
1,52,2.3721,0.332,0.000999
1,53,2.3611,0.3362,0.000999
1,54,2.3657,0.3381,0.000999
1,55,2.4051,0.332,0.000999
1,56,2.4207,0.3262,0.000999
1,57,2.4226,0.3211,0.000999
1,58,2.4145,0.322,0.000999
1,59,2.4052,0.3266,0.000999
1,60,2.4022,0.332,0.000999
1,61,2.3963,0.3382,0.000999
1,62,2.4022,0.3428,0.000999
1,63,2.4085,0.3472,0.000999
1,64,2.3976,0.3538,0.000999
1,65,2.4118,0.3546,0.000999
1,66,2.4359,0.3493,0.000999
1,67,2.4473,0.3442,0.000999
1,68,2.4547,0.3392,0.000999
1,69,2.4535,0.3415,0.000999
1,70,2.4535,0.3438,0.000999
1,71,2.4539,0.3459,0.000999
1,72,2.4557,0.3489,0.000999
1,73,2.4554,0.3514,0.000999
1,74,2.4449,0.3558,0.000999
1,75,2.4415,0.3573,0.000999
1,76,2.4442,0.3563,0.000999
1,77,2.4527,0.3518,0.000999
1,78,2.4562,0.3473,0.000999
1,79,2.455,0.343,0.000999
1,80,2.4479,0.3465,0.000999
1,81,2.4398,0.351,0.000999
1,82,2.4304,0.3558,0.000999
1,83,2.4212,0.3601,0.000999
1,84,2.4152,0.3647,0.000999
1,85,2.4056,0.3692,0.000999
1,86,2.4119,0.3721,0.000999
1,87,2.4061,0.3743,0.000999
1,0,3.4057,0.0,0.000999
1,1,3.257,0.0,0.000999
1,2,3.0482,0.0,0.000999
1,3,2.8369,0.0,0.000999
1,4,2.6555,0.0625,0.000999
1,5,2.4767,0.151,0.000999
1,6,2.3637,0.2232,0.000999
1,7,2.2555,0.2773,0.000999
1,8,2.1961,0.3229,0.000999
1,9,2.1607,0.3563,0.000999
1,10,2.1223,0.3864,0.000999
1,11,2.2575,0.3542,0.000999
1,12,2.3336,0.3317,0.000999
1,13,2.3421,0.308,0.000999
1,14,2.3555,0.3167,0.000999
1,15,2.3516,0.334,0.000999
1,16,2.2884,0.3621,0.000999
1,17,2.247,0.3854,0.000999
1,18,2.2153,0.4062,0.000999
1,19,2.1356,0.4313,0.000999
1,20,2.0634,0.4539,0.000999
1,21,2.0208,0.4688,0.000999
1,22,2.1279,0.4484,0.000999
1,23,2.1426,0.4297,0.000999
1,24,2.217,0.4125,0.000999
1,25,2.2358,0.4111,0.000999
1,26,2.2239,0.4167,0.000999
1,27,2.2084,0.4208,0.000999
1,28,2.1782,0.4289,0.000999
1,29,2.1352,0.4406,0.000999
1,30,2.0882,0.4526,0.000999
1,31,2.0462,0.4648,0.000999
1,32,2.0082,0.4744,0.000999
1,33,2.0232,0.4623,0.000999
1,34,2.0315,0.4536,0.000999
1,35,2.0409,0.4444,0.000999
1,36,2.0405,0.4409,0.000999
1,37,2.0278,0.4375,0.000999
1,38,2.0303,0.4327,0.000999
1,39,1.9951,0.4422,0.000999
1,40,1.9661,0.4482,0.000998
1,41,1.9394,0.4568,0.000998
1,42,1.907,0.4666,0.000998
1,43,1.8961,0.473,0.000998
1,44,1.9577,0.4625,0.000998
1,45,2.0003,0.4524,0.000998
1,46,2.0311,0.4428,0.000998
1,47,2.0383,0.4342,0.000998
1,48,2.0395,0.4267,0.000998
1,49,2.0341,0.4244,0.000998
1,50,2.0248,0.4301,0.000998
1,51,2.0117,0.4351,0.000998
1,52,1.9984,0.441,0.000998
1,53,1.9854,0.4456,0.000998
